metric_name,inferred_variable_id,unit,city_segment_v1,segment_rank,segment_confidence,city_tier_v1,year_start,year_end,year_count,city_count,record_count,observed_count,missing_count,missing_rate,manual_review_city_count,manual_review_cities,coverage_grade,coverage_notes
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,资源型或收缩型候选城市,5,medium,三四线,2000,2024,25,20,500,464,36,0.0720,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,usable_with_caution,存在缺失值；包含需人工核查城市
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,资源型或收缩型候选城市,5,medium,三四线,2005,2024,20,20,400,391,9,0.0225,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,usable_with_caution,存在缺失值；包含需人工核查城市
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,资源型或收缩型候选城市,5,medium,三四线,2005,2024,20,20,400,384,16,0.0400,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,usable_with_caution,存在缺失值；包含需人工核查城市
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,资源型或收缩型候选城市,5,medium,三四线,2002,2024,23,20,460,455,5,0.0109,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,good,存在缺失值；包含需人工核查城市
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,资源型或收缩型候选城市,5,medium,三四线,2002,2024,23,20,460,445,15,0.0326,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,usable_with_caution,存在缺失值；包含需人工核查城市
地级市房价,VAR_PRICE_NEW,元/平方米,资源型或收缩型候选城市,5,medium,三四线,2000,2022,23,20,460,435,25,0.0543,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,usable_with_caution,存在缺失值；包含需人工核查城市
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,资源型或收缩型候选城市,5,medium,三四线,2000,2024,25,20,500,487,13,0.0260,20,七台河;乌海;伊春;克拉玛依;双鸭山;嘉峪关;大庆;抚顺;攀枝花;朔州;本溪;白城;白山;辽源;金昌;铜川;阜新;阳泉;鸡西;鹤岗,usable_with_caution,存在缺失值；包含需人工核查城市
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,都市圈外围承接型候选城市,6,low,三四线,2000,2024,25,38,950,890,60,0.0632,0,,usable_with_caution,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,都市圈外围承接型候选城市,6,low,三四线,2005,2024,20,38,760,719,41,0.0539,0,,usable_with_caution,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,都市圈外围承接型候选城市,6,low,三四线,2005,2024,20,38,760,692,68,0.0895,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,都市圈外围承接型候选城市,6,low,三四线,2002,2024,23,38,874,857,17,0.0195,0,,good,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,都市圈外围承接型候选城市,6,low,三四线,2002,2024,23,38,874,822,52,0.0595,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,都市圈外围承接型候选城市,6,low,三四线,2000,2022,23,38,874,869,5,0.0057,0,,good,存在缺失值
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,都市圈外围承接型候选城市,6,low,三四线,2000,2024,25,38,950,921,29,0.0305,0,,usable_with_caution,存在缺失值
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,普通三四线城市,7,low,三四线,2000,2024,25,165,4125,3624,501,0.1215,0,,weak,存在缺失值；缺失率超过10%
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,普通三四线城市,7,low,三四线,2005,2024,20,165,3300,3111,189,0.0573,0,,usable_with_caution,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,普通三四线城市,7,low,三四线,2005,2024,20,165,3300,2959,341,0.1033,0,,weak,存在缺失值；缺失率超过10%
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,普通三四线城市,7,low,三四线,2002,2024,23,165,3795,3642,153,0.0403,0,,usable_with_caution,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,普通三四线城市,7,low,三四线,2002,2024,23,165,3795,3507,288,0.0759,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,普通三四线城市,7,low,三四线,2000,2022,23,165,3795,3543,252,0.0664,0,,usable_with_caution,存在缺失值
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,普通三四线城市,7,low,三四线,2000,2024,25,165,4125,3799,326,0.0790,0,,usable_with_caution,存在缺失值
