id,group,name,definition,expected_relationship,proxy_metrics,city_tier_relevance,quantifiable,lag_risk,confounders,notes
VAR_CONSTRUCTION,供给侧,开发建设,新开工施工竣工,反映供给周期和交付压力,新开工面积;施工面积;竣工面积,全国;省级,yes,中,房企资金;保交楼政策,用于滞后供给判断
VAR_DEVELOPER_FINANCE,供给侧,房企融资,房企债务和融资环境,融资收缩影响供给和降价压力,债券到期;销售回款;融资成本,全国;企业层面,yes,中,政策救助;样本选择,后续再细化
VAR_LOCAL_FISCAL,供给侧,土地财政,地方财政对土地出让依赖,财政压力影响供地和托市政策,土地出让收入;地方债;城投债,省级;城市层级,yes,中,预算外资金;隐债,政策反应变量
VAR_MORTGAGE_RATE,金融条件,按揭利率,住房贷款价格,利率下降支撑购买力但不必然带来需求,首套房贷利率;LPR;加点,全国;城市层级,yes,低,首付比例;银行风控,短中期重要
VAR_CREDIT,金融条件,居民信贷,居民贷款和中长期贷款,信用扩张支撑房价信用收缩压制房价,居民贷款;中长期贷款;社融,全国,yes,低,经营贷流入;提前还贷,需警惕口径混杂
VAR_LEVERAGE,金融条件,居民杠杆,居民债务相对收入或GDP,高杠杆降低继续加杠杆空间,居民杠杆率;偿债收入比,全国;省级,yes,中,收入分布;利率变化,判断长期弹性
VAR_ASSET_ALTERNATIVES,金融条件,替代资产收益,其他资产回报和风险偏好,替代收益高会削弱房产吸引力,存款利率;理财收益;股市回报,全国,yes,低,风险偏好;资本管制,用于资产配置视角
VAR_INTERGEN_VALUE,社会文化,代际价值观,成家置业和家庭责任观念变化,置业优先级下降会降低承债意愿,价值观调查;家庭责任题项;访谈研究,全国;国际比较,partly,高,收入压力;教育水平,不能单独因果化
VAR_FAMILY_FORM,社会文化,家庭形态变化,独身同居丁克晚婚不婚,改变户型需求和购房动机,独居比例;结婚率;同居题项;丁克意愿,全国;城市层级,partly,高,城市文化;房价反向影响,需跨国对照
VAR_HOUSING_MEANING,社会文化,住房社会意义,住房作为身份财富或居住服务的权重,财富锚弱化可能降低投资性需求,调查题项;购房动机;媒体语料,全国;国际比较,partly,高,政策宣传;财富效应,适合定性加量化代理
VAR_SEARCH_SENTIMENT,替代指标,搜索与关注度,房价和买卖房关键词热度,可能领先交易情绪,搜索指数;公开趋势;关键词组合,城市层级,yes,低,媒体事件;平台算法,只能作为线索
VAR_LISTING_PRESSURE,替代指标,挂牌压力,挂牌量和调价行为,挂牌增加和降价增多提示流动性压力,挂牌量;降价房源占比;成交周期,重点城市;城市层级,yes,低,平台规则;重复房源,需清洗去重
VAR_INTL_DEMOGRAPHICS,国际比较,国际人口拐点,其他国家人口和家庭结构变化,用于对照中国长期需求路径,出生率;老龄化;家庭户;婚姻率,国际比较,yes,高,移民;制度差异,不直接套结论
VAR_INTL_AFFORDABILITY,国际比较,国际负担能力,房价收入比和租售比跨国比较,估值压力对照,OECD房价收入比;租售比;BIS实际房价,国际比较,yes,中,税制;利率;租赁制度,只比较变量不比较结论
VAR_BIRTH_PROJECTION,需求侧,出生人口预测,未来出生人口和育龄人口趋势,长期新增家庭需求约束,人口预测;育龄女性人口;总和生育率情景,全国;省级;国际比较,yes,高,政策变化;移民;统计口径,用于长期情景而非短期价格判断
VAR_CITY_TIER,分层变量,城市层级,城市资源吸附和房地产周期分层,解释城市间价格和成交分化,一线;新一线;强二线;普通二线;三四线;收缩型城市,城市层级,yes,中,商业榜单偏差;行政区划变化,后续应由数据聚类校正
VAR_LOCATION_CORENESS,分层变量,地段核心度,城市内部核心次核心非核心地段划分,解释同城不同板块房价和流动性分化,就业可达性;轨交;教育医疗;商业;成交活跃度,行政区;板块;小区,partly,中,规划预期;学区政策;产业迁移,不能只按距离市中心判断
VAR_PROPERTY_ATTRIBUTES,单套房变量,房屋属性,单套住宅自身质量和可替代性,影响单套房相对涨跌和流动性,总价;单价;面积;户型;楼龄;楼层;朝向;物业;小区品质,单套房,yes,低,装修;特殊交易;产权问题,用于同质房源比较
VAR_MARKET_LIQUIDITY,单套房变量,成交流动性,同质房源成交和挂牌出清能力,流动性弱会放大下跌和估值不确定性,成交量;挂牌量;降价比例;成交周期;带看量,板块;小区;单套房,yes,低,平台覆盖;重复挂牌;样本稀疏,单套房判断必须纳入
VAR_BUY_RENT_COST,决策变量,买租净成本,买房持有成本相对租房成本,决定居住需求是否需要通过购买实现,租金;月供;首付机会成本;税费;维修折旧;持有期限,单套房;家庭约束,yes,低,个人税率;贷款资格;租赁稳定性,输出买房还是租房建议时必须纳入
